dataset,cache_size,mean_diff,ci_low,ci_high
wiki2018,16123,0.008289970851851847,0.000763636111111104,0.01778033888888888
wiki2018,20154,0.008951443925925933,0.0013867277777777872,0.01836269444444446
wiki2018,40308,0.006784592962962964,0.0027648194444444473,0.012193675000000006
wiki2018,60463,0.009635794481481488,0.008629319444444452,0.010700197222222225
wiki2018,80617,0.011182440518518522,0.008417047222222225,0.013631069444444442
wiki2018,100772,0.016730557740740743,0.013157130555555554,0.019906894444444437
wikipedia_september_2007,12221,0.0055225060000000025,0.000905274999999998,0.011237028124999996
wikipedia_september_2007,15277,0.00561275191666666,0.0012946031249999929,0.010817981249999997
wikipedia_september_2007,30554,0.003129190916666671,0.0017582218750000057,0.004900331250000002
wikipedia_september_2007,45831,0.005337705791666667,0.004446181249999999,0.006150653125000005
wikipedia_september_2007,61109,0.008264259166666664,0.006986824999999999,0.009314543749999994
wikipedia_september_2007,76386,0.01127999416666666,0.008952309374999988,0.01330376874999999
