dataset,cache_size,median_diff,mean_diff,wilcoxon_stat,p_value
wiki2018,16123,-4.499999999998949e-05,0.008150666666666662,2094.5,0.22243840344575017
wiki2018,20154,0.0008600000000000274,0.008811777777777786,3401.0,9.618164147720509e-10
wiki2018,40308,0.0027900000000000147,0.006715222222222221,3893.0,4.097152419310587e-16
wiki2018,60463,0.009265000000000023,0.009637222222222228,3916.0,1.8658711459620413e-16
wiki2018,80617,0.012190000000000034,0.011185000000000002,3854.0,1.523303708991165e-15
wiki2018,100772,0.019199999999999995,0.01673977777777778,3906.0,2.629384793675229e-16
wikipedia_september_2007,12221,0.0003949999999999787,0.005406375000000002,2922.0,2.9709126513163592e-12
wikipedia_september_2007,15277,0.0008999999999999564,0.005502124999999994,3075.0,1.0605037664510213e-14
wikipedia_september_2007,30554,0.001825000000000021,0.003090250000000004,3078.0,9.439800445079349e-15
wikipedia_september_2007,45831,0.005944999999999978,0.005333875,3079.0,9.087407676344663e-15
wikipedia_september_2007,61109,0.009284999999999988,0.008280249999999998,3078.0,9.44503716856065e-15
wikipedia_september_2007,76386,0.013369999999999993,0.01132424999999999,3077.0,9.819224771752573e-15
